"Country","Indicator","Value_2020","Forecast_2025","High_80","Low_80","Probability"
"Kazakhstan","Level of consumption (at farm gate)",10602178.80939,"10602178.80939","13024926.8188852","8179430.79989475","0.5"
"Kazakhstan","Level of production",16294287.4,"15303989.3504498","19350192.771993","11257785.9289065","0.284553297000509"
"Kazakhstan","Market Price Differential",-181270916.946,"","","",""
"Kazakhstan","Producer price (at farm gate)",3371607942.92,"","","",""
"Korea","Consumption price",16028462694.84,"16028462694.84","19641095956.2069","12415829433.4731","0.5"
"Korea","Level of consumption (at farm gate)",6204000,"6204000","7324386.73062916","5083613.26937084","0.5"
"Korea","Level of production",3946504,"3946504","4710520.72929355","3182487.27070645","0.5"
"Korea","Market Price Differential",7385727973.3,"7385727973.3","9496799858.5583","5274656088.0417","0.5"
"Korea","Producer price (at farm gate)",18067006190.1,"18067006190.1","22482214441.4906","13651797938.7094","0.5"
"Mexico","Consumption price",4076598968.443,"4076598968.443","5219019544.28984","2934178392.59616","0.5"
"Mexico","Level of consumption (at farm gate)",100225729.92489,"100225729.92489","115712690.1242","84738769.7255805","0.5"
"Mexico","Level of production",87050964.82189,"87050964.82189","99605838.3367253","74496091.3070547","0.5"
"Mexico","Market Price Differential",10597236.886,"","","",""
"Mexico","Producer price (at farm gate)",4076598968.443,"4076598968.443","5219684579.87516","2933513357.01084","0.5"
"New Zealand","Consumption price",3231438733.81,"3231438733.81","4120938048.29135","2341939419.32865","0.5"
"New Zealand","Level of consumption (at farm gate)",1317408.752671,"1317408.752671","1797633.92359685","837183.581745146","0.5"
"New Zealand","Level of production",1422524.527,"1422524.527","1600583.50772494","1244465.54627506","0.5"
"New Zealand","Market Price Differential",0,"","","",""
"New Zealand","Producer price (at farm gate)",3231438733.81,"3231438733.81","4120938048.29135","2341939419.32865","0.5"
"Norway","Consumption price",5387057882.48,"3799786796.47999","6388376846.54837","1211196746.41161","0.0768664344895115"
"Norway","Level of consumption (at farm gate)",899750.43838,"848569.092319375","921096.88866005","776041.295978701","0.0503307668046099"
"Norway","Level of production",716084,"691126.875","850908.902270581","531344.847729419","0.358166686569115"
"Norway","Market Price Differential",1762095837.901,"2561644048.6465","2969854003.52247","2153434093.77053","0.999997399912508"
"Norway","Producer price (at farm gate)",5415441414.75,"4000450941","6544325273.69756","1456576608.30244","0.097833613778745"
"OECD - Total","Level of consumption (at farm gate)",873946428.022,"911533300.662667","942975077.536191","880091523.789143","0.99729056173444"
"OECD - Total","Level of production",1010155799.5545,"1010155799.5545","1146510770.63515","873800828.473846","0.5"
"Philippines","Consumption price",5747851498.63,"6845965095.4002","7704647746.52528","5987282444.27513","0.998535131472274"
"Philippines","Level of consumption (at farm gate)",23412280.88626,"23412280.88626","26245983.565924","20578578.206596","0.5"
"Philippines","Level of production",23292457.54546,"23292457.54546","26606931.4673091","19977983.6236109","0.5"
"Philippines","Market Price Differential",1031112778.075,"1235733889.25817","1396516621.58122","1074951156.93511","0.998465000267371"
"Philippines","Producer price (at farm gate)",5747851498.63,"6845965095.4002","7704647746.52528","5987282444.27513","0.998535131472274"
"Russia","Consumption price",3414263161.1,"3554584673.69325","4205742114.03305","2903427233.35345","0.691926171971719"
"Russia","Level of consumption (at farm gate)",66602893.418,"66602893.418","74687549.4185877","58518237.4174123","0.5"
"Russia","Level of production",110302810.9775,"110302810.9775","150539786.829516","70065835.1254844","0.5"
"Russia","Market Price Differential",535693178.478,"683269688.573875","1049735022.81355","316804354.334198","0.825575998771266"
"Russia","Producer price (at farm gate)",3414263161.1,"3554584673.69325","4205742114.03305","2903427233.35345","0.691926171971719"
"South Africa","Consumption price",2977821585.856,"2977821585.856","3975343368.55348","1980299803.15852","0.5"
"South Africa","Level of consumption (at farm gate)",26585298.453,"","","",""
"South Africa","Level of production",37080908,"31804734.4375","35794641.9523899","27814826.9226101","0.00104787907382875"
"South Africa","Market Price Differential",7965877.6744,"","","",""
"South Africa","Producer price (at farm gate)",2977882950.176,"2977882950.176","3938650402.2209","2017115498.1311","0.5"
"Switzerland","Consumption price",10801033846.38,"12261934888.1269","13862417310.9996","10661452465.2541","0.983142432872124"
"Switzerland","Level of consumption (at farm gate)",1610167.8,"","","",""
"Switzerland","Level of production",1060863.8,"1040962.05","1136822.53486028","945101.565139721","0.314556091354313"
"Switzerland","Market Price Differential",4248812430.736,"3026092231.7285","4155372377.08781","1896812086.36919","0.00588715863042433"
"Switzerland","Producer price (at farm gate)",10801033846.38,"12261934888.1269","13862417310.9996","10661452465.2541","0.983142432872124"
"Türkiye","Consumption price",5170060901.34,"5170060901.34","7741587737.15919","2598534065.52081","0.5"
"Türkiye","Level of consumption (at farm gate)",32628000,"","","",""
"Türkiye","Level of production",30684000,"30684000","37853458.9867785","23514541.0132215","0.5"
"Türkiye","Market Price Differential",1434490852.729,"2970788397.22546","4201831044.73886","1739745749.71205","0.998153144324098"
"Türkiye","Producer price (at farm gate)",5170060901.34,"5170060901.34","7741587737.15919","2598534065.52081","0.5"
"Ukraine","Consumption price",2988266018.74,"2747006075.20031","3228717763.00728","2265294387.39334","0.121984104170465"
"Ukraine","Level of consumption (at farm gate)",16363958,"16363958","21037728.7870578","11690187.2129422","0.5"
"Ukraine","Level of production",57150530.472,"57150530.472","82463504.3141751","31837556.6298249","0.5"
"Ukraine","Market Price Differential",123139676.627,"","","",""
"Ukraine","Producer price (at farm gate)",2988266018.74,"2747006075.20031","3228717763.00728","2265294387.39334","0.121984104170465"
"United States","Consumption price",5050924013.6,"5050924013.6","6496378277.15062","3605469750.04938","0.5"
"United States","Level of consumption (at farm gate)",426914215.5633,"","","",""
"United States","Level of production",552286557.8036,"552286557.8036","658709088.579091","445864027.028109","0.5"
"United States","Market Price Differential",146025732.47,"146025732.47","245082452.55759","46969012.3824101","0.5"
"United States","Producer price (at farm gate)",4945861971.38,"4945861971.38","6354299942.55698","3537424000.20302","0.5"
"Viet Nam","Consumption price",7572286248.22,"7572286248.22","9853194517.39071","5291377979.04929","0.5"
"Viet Nam","Level of consumption (at farm gate)",54787321.76648,"60986453.1520857","65521233.5107702","56451672.7934013","0.999264036267796"
"Viet Nam","Level of production",50303529.60315,"47727582.4306966","55042180.3040534","40412984.5573398","0.206319365205118"
"Viet Nam","Market Price Differential",1789287707.5,"1161235661.19076","2152318395.14165","170152927.239872","0.0702120585281176"
"Viet Nam","Producer price (at farm gate)",7572286248.22,"7572286248.22","9853194517.39071","5291377979.04929","0.5"
