"Commodity","Year","Correlation","Covariance"
"Oats",2015,-0.485350890708544,-94245164452594
"Oats",2016,-0.501903549740663,-96007403307770.9
"Oats",2017,-0.494516094080769,-71353119959518
"Oats",2018,-0.498849259245063,-81065393317889.9
"Oats",2019,-0.391770380593428,-62448406173901.8
"Oats",2020,-0.375437434313825,-61372890378526
"Rice",2005,-0.19593367246974,-3335584858047920
"Rice",2006,-0.192710848612484,-3146812679286383
"Rice",2007,-0.202849170912911,-3240638568526426
"Rice",2008,-0.264312127496619,-3958326413086266
"Rice",2009,-0.222466889548132,-3521206901866538
"Rice",2010,-0.167831984598779,-2904059702297350
"Rice",2011,-0.159673155773715,-2974042247054473
"Rice",2012,-0.153816513733198,-3696805106800689
"Rice",2013,-0.151232155948839,-3100059748534725
"Rice",2014,-0.145411965665263,-2604159968747058
"Rice",2015,-0.128382350152736,-2328766241762961
"Rice",2016,-0.109047003331963,-2093088124731385
"Rice",2017,-0.0878092439758884,-1754430902012341
"Rice",2018,-0.129744958454526,-2965609557528959
"Rice",2019,-0.157277514955672,-3815589583980531
"Rice",2020,-0.139533775645244,-3577882898579903
"Sugar",2005,-0.410140809098306,-7311715683038117
"Sugar",2006,-0.438735759440603,-9109926081880884
"Sugar",2007,-0.479708853803544,-8239809062611882
"Sugar",2008,-0.482097673795498,-9520357132480132
"Sugar",2009,-0.466846219700564,-11088987590418246
"Sugar",2010,-0.435360269018285,-15211028241578576
"Sugar",2011,-0.432927108391445,-15643082471151032
"Sugar",2012,-0.44012231543057,-15889663107118312
"Sugar",2013,-0.459292850797575,-13742441502752978
"Sugar",2014,-0.477595414851838,-12492106421423034
"Sugar",2015,-0.458720826334765,-14995357572817750
"Sugar",2016,-0.459391856136064,-14833662151452354
"Sugar",2017,-0.417608569249288,-12083016979666804
"Sugar",2018,-0.415852820761289,-11235567160915276
"Sugar",2019,-0.416593239549961,-11215148420073802
"Sugar",2020,-0.43929021995548,-11764071209497494
"Soybeans",2005,-0.371765326146408,-2087862254570979
"Soybeans",2006,-0.372410008194906,-2399017988977211
"Soybeans",2007,-0.34068848360655,-2778606252198990
"Soybeans",2008,-0.392185404393359,-2454224155444355
"Soybeans",2009,-0.357473439856949,-2927151487787933
"Soybeans",2010,-0.395101779240722,-3072330979742422
"Soybeans",2011,-0.375730833262381,-2853932106056433
"Soybeans",2012,-0.414256654978985,-2471675219789675
"Soybeans",2013,-0.361489482726229,-2352974558373722
"Soybeans",2014,-0.410393559000911,-4137306612460712
"Soybeans",2015,-0.438003413126637,-4654742386630121
"Soybeans",2016,-0.385605833981457,-4110905951335704
"Soybeans",2017,-0.388486224561211,-3654837885036404
"Soybeans",2018,-0.509204097083167,-4611748538893190
"Soybeans",2019,-0.469270473017021,-4619222580734510
"Soybeans",2020,-0.352640812115642,-4190668046457307
"Beef and veal",2005,-0.226401320909534,-1242216818430038
"Beef and veal",2006,-0.244797365466039,-1412472786281070
"Beef and veal",2007,-0.238890792965683,-1365610996039616
"Beef and veal",2008,-0.234381841873626,-1123196310377140
"Beef and veal",2009,-0.218548764756789,-1155888713834948
"Beef and veal",2010,-0.22375652393376,-1349202074518559
"Beef and veal",2011,-0.206173222145169,-1141122923384275
"Beef and veal",2012,-0.160261399623329,-963551020169568
"Beef and veal",2013,-0.160191799696496,-970557750893254
"Beef and veal",2014,-0.116722107845741,-756922705820512
"Beef and veal",2015,-0.14585323103698,-1088584804738621
"Beef and veal",2016,-0.180875914212729,-1646602054286257
"Beef and veal",2017,-0.197928376248734,-1596839395060782
"Beef and veal",2018,-0.193068521691514,-1618842596812883
"Beef and veal",2019,-0.171057738968689,-1542108856072859
"Beef and veal",2020,-0.161364793546942,-1485480879086988
"Coffee",2005,0.00639418090754809,2734858996228.06
"Coffee",2006,-0.0935364736721687,-28472103545960.7
"Coffee",2007,-0.0380942245961336,-15071827072468
"Coffee",2008,-0.148608572855754,-54421819156443.6
"Coffee",2009,-0.168884648461541,-125901878275770
"Coffee",2010,-0.0810024297061983,-71990305582678.6
"Coffee",2011,0.135478516193754,210752290242949
"Coffee",2012,-0.0939415440389167,-83426349950243.1
"Coffee",2013,-0.198915003503616,-102678280115520
"Coffee",2014,-0.169928606299092,-148256720316557
"Coffee",2015,-0.367364170490583,-322709893506384
"Coffee",2016,-0.144013597156996,-110385075938678
"Coffee",2017,-0.169634927188761,-140391815139020
"Coffee",2018,-0.438871006819384,-280772042588121
"Coffee",2019,-0.489276972564678,-488293102733736
"Coffee",2020,-0.447883982570369,-485088031583316
