"Commodity","Year","Correlation","Covariance"
"Rice",2007,-0.197428181371696,-2949410081838833
"Rice",2008,-0.26361109363072,-3658941903879402
"Rice",2009,-0.217939992062852,-3353264576704536
"Rice",2010,-0.156653034764774,-2645989891999125
"Rice",2011,-0.153550748602975,-2832231574606054
"Rice",2012,-0.14188725993211,-3246399934978894
"Rice",2013,-0.146272558209517,-2811438765735283
"Rice",2014,-0.144789645810042,-2373912861025360
"Rice",2015,-0.125582962495299,-2015208389186952
"Rice",2016,-0.0938715769324362,-1492942462476476
"Rice",2017,-0.0752573360274334,-1268595621770650
"Rice",2018,-0.124347696148211,-2544415901505965
"Rice",2019,-0.146187752866045,-3423807509338902
"Rice",2020,-0.12653533896175,-3030641775669139
"Sugar",2005,-0.404994300654523,-5097844438807977
"Sugar",2006,-0.449957132507122,-6289921271481670
"Sugar",2007,-0.486611455348806,-6131674986622248
"Sugar",2008,-0.498402428542738,-6221824647122717
"Sugar",2009,-0.479995654267605,-6838111049632045
"Sugar",2010,-0.448919388212969,-9133630550079084
"Sugar",2011,-0.44886527718102,-8577045515935318
"Sugar",2012,-0.454215099407409,-9321126366245706
"Sugar",2013,-0.452552766645595,-9224915173783106
"Sugar",2014,-0.472207640082277,-8713245727787797
"Sugar",2015,-0.462272002609999,-10730483050031940
"Sugar",2016,-0.464545804151215,-9984947189249030
"Sugar",2017,-0.40910865309125,-8252155414604113
"Sugar",2018,-0.407852475166236,-8373134567451069
"Sugar",2019,-0.41274466551753,-8066391393417705
"Sugar",2020,-0.440283922579769,-7150523198445251
"Soybeans",2005,-0.250820311291433,-1006902495816315
"Soybeans",2006,-0.273974689984919,-1131277899435947
"Soybeans",2007,-0.234424418532195,-1378446175827854
"Soybeans",2008,-0.275235257335435,-1209114406839960
"Soybeans",2009,-0.171706840709649,-958471872092470
"Soybeans",2010,-0.226198265333359,-1214787589708567
"Soybeans",2011,-0.195089280596549,-1139304590745980
"Soybeans",2012,-0.0726108823795049,-349466993027213
"Soybeans",2013,-0.0712651682000561,-339935446570658
"Soybeans",2014,-0.17435798685825,-1256920994614756
"Soybeans",2015,-0.148460543567104,-1158617380174855
"Soybeans",2016,-0.175366605412681,-1451525721126877
"Soybeans",2017,-0.162724076893122,-1128575239592391
"Soybeans",2018,-0.377995537424213,-2342039089546056
"Soybeans",2019,-0.313329960020672,-2361242778744953
"Soybeans",2020,-0.154456208764821,-1437201797670864
"Beef and veal",2005,-0.152637821377261,-885896896920855
"Beef and veal",2006,-0.176225137972997,-1098782588729743
"Beef and veal",2007,-0.16467563597529,-977433006338706
"Beef and veal",2008,-0.156453034699435,-740030678708303
"Beef and veal",2009,-0.141982549249432,-735716664532098
"Beef and veal",2010,-0.151965063266292,-873774873898545
"Beef and veal",2011,-0.108459412201103,-573861188507190
"Beef and veal",2012,-0.0423837586983076,-249603281709908
"Beef and veal",2013,-0.0251562984968389,-147630957722981
"Beef and veal",2014,0.0156096469665061,98306659217307.7
"Beef and veal",2015,-0.020809395008285,-153659450613131
"Beef and veal",2016,-0.0734412746431521,-659292267556204
"Beef and veal",2017,-0.0803431087873119,-633313866978456
"Beef and veal",2018,-0.065237457006845,-529876313320135
"Beef and veal",2019,-0.0288976515593286,-257242803596192
"Beef and veal",2020,-0.0184402408294383,-173200587788144
"Coffee",2005,-0.116367570782306,-19378204969316.9
"Coffee",2006,-0.139804352005776,-20520984483274.8
"Coffee",2007,-0.109106366410877,-16811223256702.1
"Coffee",2008,-0.0470311193040271,-8479398002822.28
"Coffee",2009,-0.153127621155384,-41356973317435.9
"Coffee",2010,0.0125875041560375,4950258214385.46
"Coffee",2011,0.16048710022716,93178825172842.7
"Coffee",2012,-0.00941744899429547,-3593573687882.56
"Coffee",2013,-0.17297997424786,-31853706966434.8
"Coffee",2014,-0.21546885926382,-69351484198179.1
"Coffee",2015,-0.34217152543967,-117597683653415
"Coffee",2016,0.0659577501351163,22184592747313.2
"Coffee",2017,0.0179979295698541,5975802307229.59
"Coffee",2018,-0.314177427832643,-91203668141940.1
"Coffee",2019,-0.385089518943444,-139898992936848
"Coffee",2020,-0.388579341510748,-161292697138016
