"","Country","Level of consumption (at farm gate)","Level of production","Producer price (at farm gate)","Cluster","Year"
"68","Japan",4420661.48572,2192608.1,2624130632.114,4,2015
"69","Kazakhstan",2767322.9288175,3830180.675,964973676.745,1,2015
"70","Korea",2075000,1610068.33333333,4884431614.03333,6,2015
"71","Mexico",12990887.814,12344885.5072857,717187109.575,1,2015
"72","New Zealand",362385.2918145,347242.4295,891651287.5175,1,2015
"73","Norway",295009.540283333,284833.666666667,2063965590.49,4,2015
"74","Philippines",5842804.675,5471775.332,1263188269.4125,1,2015
"75","Russia",11853510,17197058.95862,701892678.5688,1,2015
"76","South Africa",7053179.3055,6738169.5,716389330.4485,1,2015
"77","Switzerland",486350,250325,2535642563.62,4,2015
"78","Türkiye",5859250,8004000,1995718479.6625,4,2015
"79","Ukraine",4034166.8,10432169.235,474705934.4884,1,2015
"80","United States",68489695.7156667,89131057.4419833,1036458532.465,3,2015
"81","Viet Nam",10678107.203692,10724042.536546,1492708620.12,1,2015
"82","Argentina",20830202.021,31817862.0485,668877509.8555,1,2020
"83","Australia",2032022.80763233,7083469.36646517,719316990.323333,2,2020
"84","Brazil",76615387.3302857,128424309.7,640194779.784714,3,2020
"85","Canada",5574748,12243454.03676,799344622.534,2,2020
"86","Chile",1699803.786395,522930.1062875,828885465.045,2,2020
"87","China (People's Republic of)",119675833.333333,96618893.3333333,1706232263.825,4,2020
"88","Colombia",2469890.592944,1407885.4441,1238830876.23,5,2020
"89","Costa Rica",174682.7550845,184830.747985,1619720797.765,5,2020
"90","European Union",36861373.8796286,34043780.6583143,660257510.991429,1,2020
"91","Iceland",4667,4859,3377100971.3,6,2020
"92","India",49813389.706,53618391.7976667,446736439.391667,1,2020
"93","Indonesia",13964848.3871667,14298166.6666667,1473635396.32,5,2020
"94","Israel",460878,80598.73,2728605491.625,6,2020
"95","Japan",4237756.14286,2112799.9,3160370301.07,6,2020
"96","Kazakhstan",2650544.7023475,4073571.85,842901985.73,2,2020
"97","Korea",2068000,1315501.33333333,6022335396.7,7,2020
"98","Mexico",14317961.4178414,12435852.1174129,582371281.206143,2,2020
"99","New Zealand",329352.18816775,355631.13175,807859683.4525,2,2020
"100","Norway",299916.812793333,238694.666666667,1805147138.25,5,2020
"101","Philippines",5853070.221565,5823114.386365,1436962874.6575,5,2020
"102","Russia",13320578.6836,22060562.1955,682852632.22,2,2020
"103","South Africa",6646324.61325,9270227,744470737.544,2,2020
"104","Switzerland",402541.95,265215.95,2700258461.595,6,2020
"105","Türkiye",8157000,7671000,1292515225.335,5,2020
"106","Ukraine",3272791.6,11430106.0944,597653203.748,2,2020
"107","United Kingdom",4628993.791216,3640599.067828,837252325.0628,2,2020
"108","United States",71152369.26055,92047759.6339333,824310328.563333,3,2020
"109","Viet Nam",10957464.353296,10060705.92063,1514457249.644,5,2020
