"","Country","Level of consumption (at farm gate)","Level of production","Producer price (at farm gate)","Cluster","Year","BetweenTotalRatio"
"37","Iceland",3455.855,3805,3137878851.3,"4",2008,0.881102591888945
"38","India",34506590.58095,37758568.4165,247186235.703333,"3",2008,0.881102591888945
"39","Indonesia",13865714.2213333,13529640.3333333,902514243.238333,"3",2008,0.881102591888945
"40","Israel",426255.84482,69336.774336,2302114382.14,"2",2008,0.881102591888945
"41","Japan",4525165.71428,2278821.3,1716439450.294,"2",2008,0.881102591888945
"42","Kazakhstan",2593634.5632075,3403286.825,694869827.8375,"3",2008,0.881102591888945
"43","Korea",2175333.33333333,1749672.66666667,3297872541.43333,"4",2008,0.881102591888945
"44","Mexico",13584494.1177143,11717072.8571429,517469433.455571,"3",2008,0.881102591888945
"45","New Zealand",272925.4863725,328168.64725,527052666.3475,"3",2008,0.881102591888945
"46","Norway",301384.01886,286923.333333333,1650191357.79333,"2",2008,0.881102591888945
"47","Philippines",5688333,5192467.775,766859954.595,"3",2008,0.881102591888945
"48","Russia",12019873.2672,16238091.06666,683874157.092,"3",2008,0.881102591888945
"49","South Africa",6178391.98175,7879976,565167362.07525,"3",2008,0.881102591888945
"50","Switzerland",484100,273525,1791856021.7475,"2",2008,0.881102591888945
"51","Türkiye",6041750,5895250,1308718869.08,"2",2008,0.881102591888945
"52","Ukraine",4361800,8090719.56,627679883.963,"3",2008,0.881102591888945
"53","United States",61261138.7420833,80440192.2025167,564095602.626667,"1",2008,0.881102591888945
"54","Viet Nam",8174403.663654,9183098.18528,868207175.506,"3",2008,0.881102591888945
"55","Argentina",10481615.93315,28154473.807575,920666668.53325,"1",2015,0.87875051080186
"56","Australia",1714454.02830483,5686179.60050483,629121350.085,"1",2015,0.87875051080186
"57","Brazil",86519673.7918571,125303200,686621673.245143,"3",2015,0.87875051080186
"58","Canada",4986040,10506123.0146,1046535436.648,"1",2015,0.87875051080186
"59","Chile",1591009.608895,856639.788115,927753729.89,"1",2015,0.87875051080186
"60","China (People's Republic of)",88378333.3333333,95210193.3516667,1504008337.15333,"3",2015,0.87875051080186
"61","Colombia",1984352.516669,1265977.673864,1323025358.376,"1",2015,0.87875051080186
"62","Costa Rica",158265.60491375,201313.24101875,1972191068.6975,"2",2015,0.87875051080186
"63","European Union",36577434.2456857,36915276.5882857,741444133.285714,"1",2015,0.87875051080186
"64","Iceland",3610,3816,4527407236.7,"4",2015,0.87875051080186
"65","India",43690224.4356667,42761743.473,428742768.078333,"1",2015,0.87875051080186
"66","Indonesia",14398505.57235,16602844.8333333,1466873610.09167,"1",2015,0.87875051080186
"67","Israel",446099.5,113816,3352636611.805,"2",2015,0.87875051080186
"68","Japan",4420661.48572,2192608.1,2624130632.114,"2",2015,0.87875051080186
"69","Kazakhstan",2767322.9288175,3830180.675,964973676.745,"1",2015,0.87875051080186
"70","Korea",2075000,1610068.33333333,4884431614.03333,"4",2015,0.87875051080186
"71","Mexico",12990887.814,12344885.5072857,717187109.575,"1",2015,0.87875051080186
"72","New Zealand",362385.2918145,347242.4295,891651287.5175,"1",2015,0.87875051080186
"73","Norway",295009.540283333,284833.666666667,2063965590.49,"2",2015,0.87875051080186
"74","Philippines",5842804.675,5471775.332,1263188269.4125,"1",2015,0.87875051080186
"75","Russia",11853510,17197058.95862,701892678.5688,"1",2015,0.87875051080186
"76","South Africa",7053179.3055,6738169.5,716389330.4485,"1",2015,0.87875051080186
"77","Switzerland",486350,250325,2535642563.62,"2",2015,0.87875051080186
"78","Türkiye",5859250,8004000,1995718479.6625,"2",2015,0.87875051080186
"79","Ukraine",4034166.8,10432169.235,474705934.4884,"1",2015,0.87875051080186
"80","United States",68489695.7156667,89131057.4419833,1036458532.465,"3",2015,0.87875051080186
"81","Viet Nam",10678107.203692,10724042.536546,1492708620.12,"1",2015,0.87875051080186
"82","Argentina",20830202.021,31817862.0485,668877509.8555,"1",2020,0.855406368814623
"83","Australia",2032022.80763233,7083469.36646517,719316990.323333,"4",2020,0.855406368814623
"84","Brazil",76615387.3302857,128424309.7,640194779.784714,"3",2020,0.855406368814623
"85","Canada",5574748,12243454.03676,799344622.534,"4",2020,0.855406368814623
"86","Chile",1699803.786395,522930.1062875,828885465.045,"4",2020,0.855406368814623
"87","China (People's Republic of)",119675833.333333,96618893.3333333,1706232263.825,"3",2020,0.855406368814623
"88","Colombia",2469890.592944,1407885.4441,1238830876.23,"4",2020,0.855406368814623
"89","Costa Rica",174682.7550845,184830.747985,1619720797.765,"4",2020,0.855406368814623
"90","European Union",36861373.8796286,34043780.6583143,660257510.991429,"1",2020,0.855406368814623
"91","Iceland",4667,4859,3377100971.3,"2",2020,0.855406368814623
"92","India",49813389.706,53618391.7976667,446736439.391667,"1",2020,0.855406368814623
"93","Indonesia",13964848.3871667,14298166.6666667,1473635396.32,"4",2020,0.855406368814623
"94","Israel",460878,80598.73,2728605491.625,"2",2020,0.855406368814623
"95","Japan",4237756.14286,2112799.9,3160370301.07,"2",2020,0.855406368814623
"96","Kazakhstan",2650544.7023475,4073571.85,842901985.73,"4",2020,0.855406368814623
"97","Korea",2068000,1315501.33333333,6022335396.7,"2",2020,0.855406368814623
"98","Mexico",14317961.4178414,12435852.1174129,582371281.206143,"4",2020,0.855406368814623
"99","New Zealand",329352.18816775,355631.13175,807859683.4525,"4",2020,0.855406368814623
"100","Norway",299916.812793333,238694.666666667,1805147138.25,"4",2020,0.855406368814623
"101","Philippines",5853070.221565,5823114.386365,1436962874.6575,"4",2020,0.855406368814623
"102","Russia",13320578.6836,22060562.1955,682852632.22,"4",2020,0.855406368814623
"103","South Africa",6646324.61325,9270227,744470737.544,"4",2020,0.855406368814623
"104","Switzerland",402541.95,265215.95,2700258461.595,"2",2020,0.855406368814623
"105","Türkiye",8157000,7671000,1292515225.335,"4",2020,0.855406368814623
"106","Ukraine",3272791.6,11430106.0944,597653203.748,"4",2020,0.855406368814623
"107","United Kingdom",4628993.791216,3640599.067828,837252325.0628,"4",2020,0.855406368814623
"108","United States",71152369.26055,92047759.6339333,824310328.563333,"3",2020,0.855406368814623
"109","Viet Nam",10957464.353296,10060705.92063,1514457249.644,"4",2020,0.855406368814623
